branch;chainage;type_code;station_label;dfs0
R.Thu10_1;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
R.XeoDoi1;969.0;0;Rach Gia;.\H_boudary_2011.dfs0
Rach Gia HT;91258.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Rach_Duong_Keo2;27992.0;0;Song Doc ;.\H_boudary_2011.dfs0
RACHTHUCHIN1;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
RACHTHUTAM1;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
RACHXEOVET;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
RXEOQUAO;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
S. Cua Lon-Bo De;0.0;0;Ganh hao ;.\H_boudary_2011.dfs0
S. Cua Lon-Bo De;60117.0;0;Song Doc ;.\H_boudary_2011.dfs0
s. Dam Chim;38939.0;0;Ganh hao ;.\H_boudary_2011.dfs0
S.NGA BAY;23142.0;0;Vam Kenh ;.\H_boudary_2011.dfs0
Song_Tien_01_03;6189.0;0;Vam Kenh ;.\H_boudary_2011.dfs0
T25;0.0;0;Song Doc;.\H_boudary_2011.dfs0
T29;2560.0;0;Song Doc;.\H_boudary_2011.dfs0
Ta Hem;3720.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Ta Manh;3572.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Thay Xep;3626.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Tieu Dua;0.0;0;Song Doc ;.\H_boudary_2011.dfs0
Tuan Thong;8500.0;0;Rach Gia ;.\H_boudary_2011.dfs0
TV08_54;20092.0;0;Ben Trai ;.\H_boudary_2011.dfs0
Vam Co;47750.0;0;Vam Kenh ;.\H_boudary_2011.dfs0
Vam Rang;5300.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Vam Ray;6245.0;0;Rach Gia;.\H_boudary_2011.dfs0
XEONHAO3;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
2-9_DOWN;10250.0;1; SMT/82 ;.\Waterdemand2.dfs0
3 CUI;996.0;1;W29 ;.\Waterdemand2.dfs0
3 Cui;12000.0;1;W29 ;.\Waterdemand2.dfs0
3 CUI;19555.0;1;W29 ;.\Waterdemand2.dfs0
30-4;6000.0;1;W23 ;.\Waterdemand2.dfs0
30-4;13496.0;1;W23 ;.\Waterdemand2.dfs0
3THUOC;1518.0;1;W18 ;.\Waterdemand2.dfs0
3Thuoc;5639.0;1;W18 ;.\Waterdemand2.dfs0
4000;2000.0;1;W18 ;.\Waterdemand2.dfs0
4000;2000.0;1;W18 ;.\Waterdemand2.dfs0
6500_3;200.0;1;W18 ;.\Waterdemand2.dfs0
7000_1;1162.0;1;W18 ;.\Waterdemand2.dfs0
7000_2;200.0;1;W18 ;.\Waterdemand2.dfs0
9 THUOC;2040.0;1;W20 ;.\Waterdemand2.dfs0
9 THUOC2;2000.0;1;W20 ;.\Waterdemand2.dfs0
9 THUOC2;4000.0;1;W20 ;.\Waterdemand2.dfs0
A01;3707.0;1;BL/92 ;.\Waterdemand2.dfs0
A02;1788.0;1;BL/92 ;.\Waterdemand2.dfs0
A03;3120.0;1;BL/92 ;.\Waterdemand2.dfs0
A04;3198.0;1;BL/94 ;.\Waterdemand2.dfs0
A05;3124.0;1;BL/94 ;.\Waterdemand2.dfs0
A06;3576.0;1;BL/94 ;.\Waterdemand2.dfs0
A07;3787.0;1;BL/94 ;.\Waterdemand2.dfs0
A08;3584.0;1;BL/94 ;.\Waterdemand2.dfs0
A09;9074.0;1;BL/94 ;.\Waterdemand2.dfs0
A10;2138.0;1;BL/94 ;.\Waterdemand2.dfs0
A11;1758.0;1;BL/94 ;.\Waterdemand2.dfs0
A12;2401.0;1;BL/94 ;.\Waterdemand2.dfs0
A13;2268.0;1;BL/94 ;.\Waterdemand2.dfs0
A14;9718.0;1;BL/95 ;.\Waterdemand2.dfs0
A15;3278.0;1;BL/94 ;.\Waterdemand2.dfs0
A16;4065.0;1;BL/94 ;.\Waterdemand2.dfs0
A17;4439.0;1;BL/95 ;.\Waterdemand2.dfs0
A18;1531.0;1;BL/94 ;.\Waterdemand2.dfs0
AMAB1;500.0;1;W54 ;.\Waterdemand2.dfs0
AMAB12;1830.0;1;W52 ;.\Waterdemand2.dfs0
AMAB13;777.0;1;W54 ;.\Waterdemand2.dfs0
AMAB2;7000.0;1;W54 ;.\Waterdemand2.dfs0
AMAB6;3257.0;1;W54 ;.\Waterdemand2.dfs0
AMAB8;2000.0;1;W54 ;.\Waterdemand2.dfs0
AMAB9;3200.0;1;W54 ;.\Waterdemand2.dfs0
An Binh;17375.0;1; PR/108 ;.\Waterdemand2.dfs0
An Binh AG;2500.0;1; LXQ/7 ;.\Waterdemand2.dfs0
An Phong MH;61048.0;1; PR/105 ;.\Waterdemand2.dfs0
An Phong MH;78000.0;1; PR/106 ;.\Waterdemand2.dfs0
An Phong MH1;38122.0;1; PR/104 ;.\Waterdemand2.dfs0
AN TAP;4000.0;1;W26 ;.\Waterdemand2.dfs0
AN TAP;12000.0;1;W26 ;.\Waterdemand2.dfs0
APMYXEOLAXEOGIUA;3839.0;1;W19 ;.\Waterdemand2.dfs0
B01;2631.0;1;BL/92 ;.\Waterdemand2.dfs0
B02;1475.0;1;BL/92 ;.\Waterdemand2.dfs0
B03;1858.0;1;BL/92 ;.\Waterdemand2.dfs0
B04;10784.0;1;BL/92 ;.\Waterdemand2.dfs0
B05;888.0;1;BL/92 ;.\Waterdemand2.dfs0
B06;589.0;1;BL/92 ;.\Waterdemand2.dfs0
B07;1178.0;1;BL/92 ;.\Waterdemand2.dfs0
B08;843.0;1;BL/92 ;.\Waterdemand2.dfs0
B09;1559.0;1;BL/92 ;.\Waterdemand2.dfs0
B10;1635.0;1;BL/92 ;.\Waterdemand2.dfs0
B11;4094.0;1;BL/93 ;.\Waterdemand2.dfs0
B12;9490.0;1;BL/93 ;.\Waterdemand2.dfs0
B13;5116.0;1;BL/93 ;.\Waterdemand2.dfs0
B14;10528.0;1;BL/93 ;.\Waterdemand2.dfs0
