tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
MyThuan;2011-10-01 17:00:00;61200.0;32;1305;-25.7667;1.302;15061.363;0.06844;0.9313;27.069;15061.363
VamNao;2011-10-01 17:00:00;61200.0;47;1510;-21.7944;4.174;7664.606;0.07763;0.9535;25.968;7664.606
ChauDoc;2011-10-01 18:00:00;64800.0;3;62;-18.895;5.381;8258.202;0.10669;1.3352;24.276;8258.202
CanTho;2011-10-01 18:00:00;64800.0;6;269;-26.9112;2.351;12175.817;0.04805;0.6531;29.262;12175.817
TanChau;2011-10-01 18:00:00;64800.0;29;1126;-32.2556;4.511;24698.447;0.09452;1.4186;36.766;24698.447
MyThuan;2011-10-01 18:00:00;64800.0;32;1305;-25.7667;1.836;11711.318;0.05141;0.7041;27.603;11711.318
VamNao;2011-10-01 18:00:00;64800.0;47;1510;-21.7944;4.076;7529.41;0.07676;0.9423;25.87;7529.41
ChauDoc;2011-10-01 19:00:00;68400.0;3;62;-18.895;5.304;8204.075;0.10677;1.333;24.199;8204.075
CanTho;2011-10-01 19:00:00;68400.0;6;269;-26.9112;2.511;12137.584;0.04737;0.6456;29.422;12137.584
TanChau;2011-10-01 19:00:00;68400.0;29;1126;-32.2556;4.46;24361.607;0.09353;1.4023;36.716;24361.607
MyThuan;2011-10-01 19:00:00;68400.0;32;1305;-25.7667;2.074;13377.182;0.05784;0.7944;27.841;13377.182
VamNao;2011-10-01 19:00:00;68400.0;47;1510;-21.7944;4.054;7258.425;0.0741;0.9096;25.848;7258.425
ChauDoc;2011-10-01 20:00:00;72000.0;3;62;-18.895;5.286;8094.069;0.10552;1.3166;24.181;8094.069
CanTho;2011-10-01 20:00:00;72000.0;6;269;-26.9112;2.513;13741.324;0.05362;0.7308;29.424;13741.324
TanChau;2011-10-01 20:00:00;72000.0;29;1126;-32.2556;4.505;23742.797;0.09089;1.364;36.761;23742.797
MyThuan;2011-10-01 20:00:00;72000.0;32;1305;-25.7667;2.094;15686.532;0.06774;0.9306;27.861;15686.532
