survey_name;river;file_stem;chainage_survey;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;n_pts;width_m;z_bed;z_bank_L;z_bank_R;awet_m2;sec_file
SH22P;BASSAC;SongHau;116420.0;562625.1048927563;1131905.318807587;Hau_4;9797.2;12.9;105;401.7;-11.33;0.55;1.61;3275.3;SongHau_SH22P.csv
SH23;BASSAC;SongHau;122040.0;567561.7965654831;1129116.9909490785;BASSAC;120874.8;4.5;197;757.5;-22.69;1.67;1.32;11641.2;SongHau_SH23.csv
SH23P;BASSAC;SongHau;122040.0;565749.1092941039;1128070.4286620743;Hau_4;14769.4;16.1;157;615.2;-8.69;1.62;1.5;4073.2;SongHau_SH23P.csv
SH24;BASSAC;SongHau;126335.0;569236.948573452;1125267.6336313111;BASSAC;125128.2;39.7;319;1253.9;-19.56;1.46;1.5;16882.7;SongHau_SH24.csv
SH25;BASSAC;SongHau;130770.0;572425.9900744738;1121874.3248252487;BASSAC;129791.7;55.3;277;1096.2;-23.07;2.11;1.63;17046.1;SongHau_SH25.csv
SH26;BASSAC;SongHau;133800.0;576557.7071322326;1119164.0528236586;BASSAC;134726.4;39.0;236;1138.2;-19.28;0.54;3.11;16803.0;SongHau_SH26.csv
SH27;BASSAC;SongHau;140500.0;582175.556098267;1115562.6511512788;BASSAC;141521.2;60.5;187;883.5;-19.41;2.22;0.52;13274.5;SongHau_SH27.csv
SH27P;BASSAC;SongHau;140500.0;581662.5227035158;1114617.5108162588;Hau_5;1759.9;9.8;114;529.5;-13.83;-1.34;2.22;5657.3;SongHau_SH27P.csv
SH28;BASSAC;SongHau;145500.0;586190.7540920044;1112707.3307550417;BASSAC;146631.6;40.0;210;1006.7;-35.55;1.98;0.62;19467.5;SongHau_SH28.csv
SH29;BASSAC;SongHau;150400.0;589200.0005160717;1108925.502001095;BASSAC;151477.2;55.3;215;1038.3;-21.98;2.57;1.76;16656.2;SongHau_SH29.csv
SH29P;BASSAC;SongHau;150400.0;588152.5667320311;1108149.6935429121;Hau_6;2699.1;25.8;94;429.6;-9.34;1.85;2.41;2646.4;SongHau_SH29P.csv
SH30;BASSAC;SongHau;153900.0;591069.8872353251;1105337.7546362916;BASSAC;155578.2;148.9;319;1550.5;-18.61;0.5;1.01;20437.6;SongHau_SH30.csv
SH31P;BASSAC;SongHau;158500.0;594926.1747863563;1104570.9669923463;Hau_7;3444.9;20.4;78;297.7;-8.79;2.37;1.58;1975.9;SongHau_SH31P.csv
SH31;BASSAC;SongHau;158500.0;593492.5444627274;1102681.0120251875;BASSAC;159229.4;28.1;327;1304.0;-18.8;2.3;2.09;18608.1;SongHau_SH31.csv
