ten;vn;kmz;song;pre;num;suf;x_utm;y_utm;co_z;ch_survey;rong_excel;rong_tuyen;z_day;n_pt;file_excel;mike1;mike1_ch;mike1_d;mike2;mike2_ch;mike2_d;mike3;mike3_ch;mike3_d
SH43P;SH43P;SH;BASSAC;SH;43;P;633790.5;1051054.3;yes;223215.0;2715.0;3012.7;-9.5;564;SongHau;CuaTranDe;33990.9;51.4;Tiep Nhat;25587.1;1119.0;;;
CC1;CC1;CC;CoChien;CC;1;;602383.9;1136287.0;yes;0.0;1117.0;1210.2;-19.97;231;SongCoChien;CoChien;814.1;48.2;Tien;124886.1;829.7;;;
CC2;CC2;CC;CoChien;CC;2;;606789.5;1134394.2;yes;4900.0;543.7;716.9;-35.74;116;SongCoChien;CoChien;5923.1;17.0;LongHo;0.0;303.1;Bao Ke DH;32734.2;1016.4
CC3;CC3;CC;CoChien;CC;3;;611805.6;1134391.6;yes;10100.0;1461.1;1786.6;-18.22;297;SongCoChien;CoChien;11066.3;12.5;C02;0.0;1966.4;CoChien_1;0.0;2095.8
CC4;CC4;CC;CoChien;CC;4;;616950.9;1132554.4;yes;15750.0;582.1;568.8;-27.48;122;SongCoChien;CoChien;16856.8;5.9;Tong Hung LH;0.0;1552.6;CoChien_1;3818.1;1593.9
CC4p;CC4P;CC;CoChien;CC;4;P;616991.3;1134181.0;yes;15750.0;331.5;274.0;-10.56;74;SongCoChien;CoChien_1;3541.9;28.1;C01;7377.2;662.4;CoChien;16799.8;1620.2
CC5;CC5;CC;CoChien;CC;5;;622504.1;1131490.0;yes;21500.0;1548.7;1608.6;-20.67;314;SongCoChien;CoChien;22642.5;136.5;C03;1031.6;1141.3;C04;4651.7;1408.4
CC6;CC6;CC;CoChien;CC;6;;626783.1;1128423.9;yes;26750.0;1024.9;1227.5;-20.53;211;SongCoChien;CoChien;28035.7;13.5;CoChien_3;0.0;211.5;C07;7203.0;317.0
CC6P;CC6P;CC;CoChien;CC;6;P;625790.0;1127672.8;yes;26750.0;563.6;644.0;-12.1;119;SongCoChien;CoChien_2;1824.7;61.1;CoChien;28477.2;1196.4;CoChien_3;0.0;1392.9
CC7;CC7;CC;CoChien;CC;7;;628574.7;1125198.7;yes;30450.0;602.2;895.0;-19.31;164;SongCoChien;CoChien;31823.3;50.7;CoChien_3;3355.4;1135.0;Mang Thit;449.9;1493.0
