ten;pre;num;suf;loai_suf;x_utm;y_utm;co_z;nhanh_mike;ch_mike;d_chieu;rong_sv;rong_tuyen;day_sv;rong_mike;day_mike;topo;lech_rong;lech_day;bief;absc
SH30;SH;30.0;;chinh;591069.9;1105337.8;yes;BASSAC;155578.2;148.9;1550.5;1576.3;-18.61;;;2021_SIWRP_QHPCTT;;;2.0;1086234.2
SH31;SH;31.0;;chinh;593492.5;1102681.0;yes;BASSAC;159229.4;28.1;1304.0;1228.4;-18.8;1304.0;-18.8;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1089885.4
SH31P;SH;31.0;P;nhanh;594926.2;1104571.0;yes;Hau_7;3444.9;20.4;297.7;244.3;-8.79;297.7;-8.79;2021_SIWRP_QHPCTT;0.0;0.0;;
SH32;SH;32.0;;chinh;597217.5;1099440.2;yes;BASSAC;164177.2;12.3;985.6;902.1;-21.24;985.6;-21.24;2021_SIWRP_QHPCTT;0.0;0.0;2.0;1094833.2
SH32P;SH;32.0;P;nhanh;599549.3;1102279.6;yes;Hau_7;8726.1;70.0;649.8;857.6;-15.09;649.8;-15.09;2021_SIWRP_QHPCTT;-0.0;0.0;;
SH33;SH;33.0;;chinh;601691.4;1095278.7;yes;BASSAC;170488.8;50.9;789.0;815.2;-18.37;789.0;-18.37;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1101144.8
SH33P1;SH;33.0;P1;nhanh;602751.2;1096321.8;yes;Hau_9;3487.5;53.7;567.7;691.3;-18.98;567.7;-18.98;2021_SIWRP_QHPCTT;0.0;0.0;;
SH33P2;SH;33.0;P2;nhanh;603928.2;1097680.1;yes;Hau_7;15218.9;30.7;635.6;733.2;-7.98;635.6;-7.98;2021_SIWRP_QHPCTT;0.0;0.0;;
SH33P3;SH;33.0;P3;nhanh;604646.5;1098157.4;yes;Hau_8;1617.8;7.0;236.4;276.4;-3.89;236.4;-3.89;2021_SIWRP_QHPCTT;0.0;0.0;;
SH34;SH;34.0;;chinh;605493.3;1091325.4;yes;BASSAC;176015.3;134.0;698.7;921.4;-18.8;698.7;-18.8;2021_SIWRP_QHPCTT;0.0;0.0;2.0;1106671.3
SH34P2;SH;34.0;P2;nhanh;607310.9;1092919.6;yes;Hau_7;21166.1;29.0;1175.5;1576.9;-13.55;1175.5;-13.55;2021_SIWRP_QHPCTT;-0.0;0.0;;
SH34P3;SH;34.0;P3;nhanh;608700.1;1094065.1;yes;Hau_8;7425.4;6.0;307.7;637.3;-8.41;;;2021_SIWRP_QHPCTT;;;;
SH35;SH;35.0;;chinh;610335.4;1089031.4;yes;Hau_7;26170.0;20.0;3446.3;3944.4;-12.38;2339.1;-11.0;2021_SIWRP_QHPCTT;1107.2;-1.38;;
SH36;SH;36.0;;chinh;613716.2;1084875.7;yes;BASSAC;186668.9;107.4;3317.2;3712.3;-12.98;2406.7;-12.98;2021_SIWRP_QHPCTT;910.5;0.0;2.0;1117324.9
SH36A;SH;36.0;A;bosung;617006.2;1081456.7;yes;BASSAC;191523.2;82.8;3263.0;2614.1;-17.29;2111.9;-17.29;2021_SIWRP_QHPCTT;1151.1;0.0;2.0;1122179.2
SH36AP;SH;36.0;AP;to_hop;615782.0;1080096.6;no;Hau_11;7166.3;123.5;;954.8;;632.2;-8.5;2021_SIWRP_QHPCTT;;;;
SH37;SH;37.0;;chinh;620454.6;1079252.8;yes;CuaDinhAn;2871.9;97.0;1706.7;2061.3;-12.79;;;2021_SIWRP_QHPCTT;;;7.0;6006470.9
SH37P;SH;37.0;P;nhanh;618650.3;1077448.0;yes;CuaTranDe;3245.4;158.7;1684.6;;-9.75;1684.6;-9.75;2021_SIWRP_QHPCTT;0.0;0.0;9.0;8003245.4
SH38;SH;38.0;;chinh;624148.2;1075647.4;yes;CuaDinhAn;8069.0;54.5;2179.4;2970.9;-14.78;2179.4;-14.78;2021_SIWRP_QHPCTT;0.0;0.0;7.0;6011668.0
SH38P;SH;38.0;P;nhanh;620558.7;1072855.6;yes;CuaTranDe;8222.1;46.9;1311.7;1622.6;-9.81;1311.7;-9.81;2021_SIWRP_QHPCTT;0.0;0.0;9.0;8008222.1
SH39;SH;39.0;;chinh;627312.0;1072167.5;yes;CuaDinhAn;12799.6;99.7;1585.7;1516.8;-14.64;1585.7;-14.64;2021_SIWRP_QHPCTT;0.0;0.0;7.0;6016398.6
SH39P;SH;39.0;P;nhanh;622938.4;1067790.5;yes;CuaTranDe;13833.4;54.5;992.5;1271.1;-12.61;992.5;-12.61;2021_SIWRP_QHPCTT;-0.0;0.0;9.0;8013833.4
SH40;SH;40.0;;chinh;630962.6;1068645.2;yes;CuaDinhAn;17865.3;36.8;1785.2;1750.0;-11.81;1785.2;-11.81;2021_SIWRP_QHPCTT;-0.0;0.0;7.0;6021464.3
SH40P;SH;40.0;P;nhanh;626212.3;1063836.1;yes;CuaTranDe;19013.4;4.1;1313.0;1253.5;-10.72;1313.0;-10.72;2021_SIWRP_QHPCTT;-0.0;0.0;9.0;8019013.4
SH41;SH;41.0;;chinh;634546.1;1065671.3;yes;CuaDinhAn;22520.6;51.5;2280.0;2284.3;-10.75;2280.0;-10.75;2021_SIWRP_QHPCTT;-0.0;0.0;7.0;6026119.6
SH41P;SH;41.0;P;nhanh;629365.0;1059691.7;yes;CuaTranDe;24226.3;121.6;1637.8;1911.4;-9.22;1637.8;-9.22;2021_SIWRP_QHPCTT;-0.0;0.0;9.0;8024226.3
SH42;SH;42.0;;chinh;638064.6;1062640.8;yes;CuaDinhAn;27150.6;190.6;2635.6;2555.4;-12.19;2635.6;-12.19;2021_SIWRP_QHPCTT;0.0;0.0;7.0;6030749.6
SH42P;SH;42.0;P;nhanh;631975.9;1055099.0;yes;CuaTranDe;29553.3;126.1;1694.1;1650.4;-11.46;1694.1;-11.46;2021_SIWRP_QHPCTT;-0.0;0.0;9.0;8029553.3
SH43;SH;43.0;;chinh;642104.9;1060214.6;yes;CuaDinhAn;31862.3;110.2;2734.0;2652.2;-11.17;2734.0;-11.17;2021_SIWRP_QHPCTT;0.0;0.0;7.0;6035461.3
SH43P;SH;43.0;P;nhanh;633790.5;1051054.3;yes;CuaTranDe;33990.9;51.4;2715.0;3012.7;-9.5;2715.0;-9.5;2021_SIWRP_QHPCTT;-0.0;0.0;9.0;8033990.9
CC1;CC;1.0;;chinh;602383.9;1136287.0;yes;CoChien;814.1;48.2;1117.0;1210.2;-19.97;1117.0;-19.97;2021_SIWRP_QHPCTT;-0.0;0.0;3.0;2001729.1
CC2;CC;2.0;;chinh;606789.5;1134394.2;yes;CoChien;5923.1;17.0;543.7;716.9;-35.74;543.7;-35.74;2021_SIWRP_QHPCTT;0.0;0.0;3.0;2006838.1
CC3;CC;3.0;;chinh;611805.6;1134391.6;yes;CoChien;11066.3;12.5;1461.1;1786.6;-18.22;1461.1;-18.22;2021_SIWRP_QHPCTT;-0.0;0.0;3.0;2011981.3
CC4;CC;4.0;;chinh;616950.9;1132554.4;yes;CoChien;16856.8;5.9;582.1;568.8;-27.48;582.1;-27.48;2021_SIWRP_QHPCTT;-0.0;0.0;3.0;2017771.8
CC4p;CC;4.0;P;nhanh;616991.3;1134181.0;yes;CoChien_1;3541.9;28.1;331.5;274.0;-10.56;331.5;-10.56;2021_SIWRP_QHPCTT;0.0;0.0;;
