nhanh;chainage;type;sub;loai;nhan;file_dfs0;item;cot_obs;nguon;co_so_lieu
BA NGAN;2000.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
BA QUY;2000.0;1;0;nhap_luu;W37;Waterdemand2.dfs0;QLPH/37;;;no
BA QUY;2500.0;1;0;nhap_luu;W37;Waterdemand2.dfs0;QLPH/37;;;no
BA QUY;4000.0;1;0;nhap_luu;W37;Waterdemand2.dfs0;QLPH/37;;;no
BA THA;200.0;1;0;nhap_luu;W41;Waterdemand2.dfs0;QLPH/41;;;no
BA XA;2000.0;1;0;nhap_luu;W27;Waterdemand2.dfs0;QLPH/27;;;no
BA XA;2600.0;1;0;nhap_luu;W27;Waterdemand2.dfs0;QLPH/27;;;no
BAC LIEU;9470.0;1;0;nhap_luu;W46;Waterdemand2.dfs0;W46;;;no
BAC LIEU;14274.0;1;0;nhap_luu;W46;Waterdemand2.dfs0;W46;;;no
BAC LIEU;24414.0;1;0;nhap_luu;W46;Waterdemand2.dfs0;W46;;;no
BAC LIEU;28427.0;1;0;nhap_luu;W30;Waterdemand2.dfs0;QLPH/30;;;no
BACH NGUU;6840.0;1;0;nhap_luu;W52;Waterdemand2.dfs0;W52;;;no
BACH NGUU;20122.0;1;0;nhap_luu;W38;Waterdemand2.dfs0;QLPH/38;;;no
BACH NGUU;30269.0;1;0;nhap_luu;W43;Waterdemand2.dfs0;QLPH/43;;;no
BACH NGUU;34472.0;1;0;nhap_luu;W39;Waterdemand2.dfs0;QLPH/39;;;no
BACH NGUU;36973.0;1;0;nhap_luu;W39;Waterdemand2.dfs0;QLPH/39;;;no
BACON;2000.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
BACTRANG;3000.0;1;0;nhap_luu;SMT/84;Waterdemand2.dfs0;SMT/84;;;no
BAHIEN2;1261.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
BAHIEN2;3003.0;1;0;nhap_luu;W53;Waterdemand2.dfs0;W53;;;no
BANBE2;1213.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
BANBE2;2737.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
BAQUAN1;200.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
BAQUAN1;1946.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
BAQUAN2;160.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
BAQUAN2;2855.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
BASSAC;74310.0;1;0;nhap_luu;W16;Waterdemand2.dfs0;WB/16;;;no
BASSAC;80306.0;1;0;nhap_luu;W17;Waterdemand2.dfs0;WB/17;;;no
BASSAC;104180.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
BASSAC;108646.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
BASSAC;117110.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
BASSAC;123492.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
BASSAC;131576.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
BASSAC;143210.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
BASSAC;145886.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
BAY HAP;4285.0;1;0;nhap_luu;W60;Waterdemand2.dfs0;W60;;;no
BAY HAP;12525.0;1;0;nhap_luu;W60;Waterdemand2.dfs0;W60;;;no
BAY HAP;26111.0;1;0;nhap_luu;W60;Waterdemand2.dfs0;W60;;;no
BAY HAP;30345.0;1;0;nhap_luu;W60;Waterdemand2.dfs0;W60;;;no
BAY HAP;42642.0;1;0;nhap_luu;W65;Waterdemand2.dfs0;W65;;;no
BBCBANG;2000.0;1;0;nhap_luu;W27;Waterdemand2.dfs0;QLPH/27;;;no
BBCBANG;2000.0;1;0;nhap_luu;W27;Waterdemand2.dfs0;QLPH/27;;;no
BINH HUNG;2000.0;1;0;nhap_luu;W28;Waterdemand2.dfs0;QLPH/28;;;no
BO THAO;2000.0;1;0;nhap_luu;W26;Waterdemand2.dfs0;QLPH/26;;;no
